frame_idx,timestamp,status,object_class,distance,roi_coverage
0,1744995836.885678,CLEAR,none,inf,0.0
1,1744995841.383435,CLEAR,none,inf,0.0
2,1744995845.9127545,CLEAR,none,inf,0.0
3,1744995850.735972,CLEAR,none,inf,0.0
4,1744995855.4033947,CLEAR,none,inf,0.0
5,1744995859.970506,WARNING,person,8.96,0.000
6,1744995864.7765462,WARNING,person,8.69,0.000
7,1744995870.4726505,CLEAR,none,inf,0.0
8,1744995876.3526464,CLEAR,none,inf,0.0
9,1744995883.036523,WARNING,person,7.85,0.000
10,1744995890.195614,CLEAR,none,inf,0.0
11,1744995897.3788064,CLEAR,none,inf,0.0
12,1744995904.4959943,CLEAR,none,inf,0.0
13,1744995911.7468433,CLEAR,none,inf,0.0
14,1744995919.1051,CLEAR,none,inf,0.0
15,1744995926.3386664,CLEAR,none,inf,0.0
16,1744995933.5917978,CLEAR,none,inf,0.0
17,1744995940.95429,CLEAR,none,inf,0.0
18,1744995948.0874257,CLEAR,none,inf,0.0
19,1744995955.417454,CLEAR,none,inf,0.0
20,1744995962.4492195,WARNING,train,7.40,0.062
21,1744995969.7695184,CLEAR,none,inf,0.0
22,1744995976.9694111,CLEAR,none,inf,0.0
23,1744995984.247465,WARNING,car,9.87,0.089
24,1744995991.5551481,WARNING,car,9.58,0.094
25,1744995998.7733755,WARNING,car,9.42,0.101
26,1744996006.1268244,WARNING,car,9.15,0.109
27,1744996012.225012,WARNING,car,8.87,0.121
28,1744996019.8816965,WARNING,car,8.72,0.125
29,1744996026.957199,WARNING,car,8.60,0.128
30,1744996033.3857572,WARNING,car,8.59,0.136
31,1744996038.7065966,WARNING,car,8.34,0.133
32,1744996043.7792895,WARNING,car,8.08,0.116
32,1744996043.7792895,WARNING,person,6.46,0.000
33,1744996049.650987,WARNING,car,8.17,0.130
34,1744996055.6604524,WARNING,car,8.30,0.128
35,1744996061.635154,WARNING,car,7.74,0.125
36,1744996068.0340388,WARNING,car,7.42,0.130
37,1744996074.2611287,WARNING,car,7.32,0.136
38,1744996080.2511306,WARNING,car,6.83,0.112
39,1744996086.3329585,WARNING,car,6.34,0.090
39,1744996086.3329585,WARNING,person,6.97,0.000
40,1744996092.686819,WARNING,car,6.29,0.090
41,1744996098.4404638,WARNING,car,5.84,0.089
41,1744996098.4404638,WARNING,person,6.44,0.000
42,1744996104.304673,WARNING,car,5.46,0.081
42,1744996104.304673,WARNING,person,6.55,0.000
42,1744996104.304673,WARNING,person,6.22,0.000
43,1744996111.0031393,WARNING,car,5.25,0.082
43,1744996111.0031393,WARNING,person,6.34,0.000
44,1744996116.9026856,WARNING,car,4.85,0.071
45,1744996123.018393,WARNING,car,4.50,0.045
46,1744996129.3968322,WARNING,car,4.24,0.038
47,1744996135.4776852,WARNING,car,3.99,0.035
48,1744996141.815795,WARNING,car,3.82,0.023
49,1744996148.324004,WARNING,car,3.60,0.025
50,1744996154.5861838,WARNING,car,3.41,0.023
51,1744996160.7599094,WARNING,car,3.41,0.016
52,1744996166.9362226,WARNING,car,3.38,0.005
53,1744996173.7042267,WARNING,car,3.39,0.002
54,1744996180.3391423,WARNING,car,3.31,0.000
55,1744996187.2696772,WARNING,car,3.33,0.000
56,1744996193.9625866,WARNING,car,3.45,0.000
57,1744996199.9913802,WARNING,car,3.48,0.000
58,1744996207.3998106,WARNING,car,3.57,0.000
58,1744996207.3998106,WARNING,car,3.47,0.000
59,1744996213.480303,WARNING,car,3.61,0.000
60,1744996219.961637,WARNING,car,3.69,0.000
61,1744996225.9872012,WARNING,car,3.57,0.000
62,1744996231.6520228,CLEAR,none,inf,0.0
63,1744996237.4080365,WARNING,car,3.49,0.000
64,1744996243.29502,WARNING,car,3.49,0.000
65,1744996249.0698159,CLEAR,none,inf,0.0
66,1744996254.9068272,CLEAR,none,inf,0.0
67,1744996260.6244037,CLEAR,none,inf,0.0
