frame_idx,status
0,CLEAR
1,CLEAR
2,CLEAR
3,CLEAR
4,CLEAR
5,WARNING
6,WARNING
7,CLEAR
8,CLEAR
9,WARNING
10,CLEAR
11,CLEAR
12,CLEAR
13,CLEAR
14,CLEAR
15,CLEAR
16,CLEAR
17,CLEAR
18,CLEAR
19,CLEAR
20,WARNING
21,CLEAR
22,CLEAR
23,WARNING
24,WARNING
25,WARNING
26,WARNING
27,WARNING
28,WARNING
29,WARNING
30,WARNING
31,WARNING
32,WARNING
33,WARNING
34,WARNING
35,WARNING
36,WARNING
37,WARNING
38,WARNING
39,WARNING
40,WARNING
41,WARNING
42,WARNING
43,WARNING
44,WARNING
45,WARNING
46,WARNING
47,WARNING
48,WARNING
49,WARNING
50,WARNING
51,WARNING
52,WARNING
53,WARNING
54,WARNING
55,WARNING
56,WARNING
57,WARNING
58,WARNING
59,WARNING
60,WARNING
61,WARNING
62,CLEAR
63,WARNING
64,WARNING
65,CLEAR
66,CLEAR
67,CLEAR
68,CLEAR
69,CLEAR
70,CLEAR
71,CLEAR
72,CLEAR
73,CLEAR
74,CLEAR
75,CLEAR
76,CLEAR
77,CLEAR
78,CLEAR
79,CLEAR
80,CLEAR
81,CLEAR
82,CLEAR
83,CLEAR
84,CLEAR
85,CLEAR
86,WARNING
87,WARNING
88,WARNING
89,WARNING
90,WARNING
91,WARNING
92,WARNING
93,WARNING
94,WARNING
95,WARNING
96,WARNING
97,WARNING
98,WARNING
99,WARNING
100,WARNING
101,WARNING
102,WARNING
103,WARNING
104,WARNING
105,WARNING
106,WARNING
107,WARNING
108,WARNING
109,WARNING
110,WARNING
111,WARNING
112,WARNING
113,WARNING
114,WARNING
115,WARNING
116,WARNING
117,WARNING
118,WARNING
119,WARNING
120,WARNING
121,WARNING
122,WARNING
123,WARNING
124,WARNING
125,WARNING
126,WARNING
127,WARNING
128,WARNING
129,WARNING
130,WARNING
131,WARNING
132,WARNING
133,WARNING
134,WARNING
135,WARNING
136,WARNING
137,WARNING
138,WARNING
139,WARNING
140,WARNING
141,WARNING
142,WARNING
143,WARNING
144,WARNING
145,WARNING
146,WARNING
147,WARNING
148,WARNING
149,WARNING
150,WARNING
151,WARNING
152,WARNING
153,WARNING
154,WARNING
155,WARNING
156,WARNING
157,WARNING
158,WARNING
159,WARNING
160,WARNING
161,WARNING
162,WARNING
163,WARNING
164,WARNING
165,WARNING
166,WARNING
167,WARNING
168,STOP
169,WARNING
170,WARNING
171,WARNING
172,WARNING
173,WARNING
174,WARNING
175,WARNING
176,WARNING
177,WARNING
178,WARNING
179,WARNING
180,WARNING
181,WARNING
182,WARNING
183,WARNING
184,WARNING
185,WARNING
186,WARNING
187,WARNING
188,WARNING
189,WARNING
190,WARNING
191,WARNING
192,WARNING
193,WARNING
194,WARNING
195,WARNING
196,WARNING
197,WARNING
198,WARNING
199,WARNING
200,WARNING
201,WARNING
202,WARNING
203,WARNING
204,WARNING
205,WARNING
206,WARNING
207,WARNING
208,WARNING
209,STOP
210,STOP
211,STOP
212,STOP
213,STOP
214,STOP
215,STOP
216,STOP
217,STOP
218,WARNING
219,WARNING
220,WARNING
221,WARNING
222,WARNING
223,WARNING
224,WARNING
225,WARNING
226,WARNING
227,WARNING
228,WARNING
229,WARNING
230,WARNING
231,WARNING
232,WARNING
233,CLEAR
234,CLEAR
235,CLEAR
236,CLEAR
237,CLEAR
238,CLEAR
239,CLEAR
240,CLEAR
241,CLEAR
242,CLEAR
243,WARNING
244,CLEAR
245,CLEAR
246,CLEAR
247,CLEAR
248,CLEAR
249,CLEAR
250,CLEAR
251,WARNING
252,WARNING
253,CLEAR
254,WARNING
255,WARNING
256,WARNING
257,WARNING
258,STOP
259,WARNING
260,WARNING
261,WARNING
262,WARNING
263,CLEAR
264,WARNING
265,CLEAR
266,WARNING
267,WARNING
268,WARNING
269,CLEAR
270,CLEAR
271,CLEAR
272,CLEAR
273,CLEAR
274,CLEAR
275,CLEAR
276,CLEAR
277,CLEAR
278,CLEAR
279,CLEAR
280,CLEAR
281,CLEAR
282,CLEAR
283,CLEAR
284,CLEAR
285,CLEAR
286,CLEAR
287,CLEAR
288,CLEAR
289,CLEAR
290,CLEAR
291,CLEAR
292,WARNING
293,CLEAR
294,CLEAR
295,WARNING
296,WARNING
297,WARNING
298,WARNING
299,WARNING
300,WARNING
301,WARNING
302,WARNING
303,WARNING
304,CLEAR
305,CLEAR
306,CLEAR
307,CLEAR
308,CLEAR
309,CLEAR
310,CLEAR
311,CLEAR
312,CLEAR
313,CLEAR
314,CLEAR
315,CLEAR
316,CLEAR
317,WARNING
318,WARNING
319,WARNING
320,WARNING
321,WARNING
322,WARNING
323,CLEAR
324,CLEAR
325,CLEAR
326,WARNING
327,WARNING
328,WARNING
329,WARNING
330,WARNING
331,CLEAR
332,WARNING
333,WARNING
334,WARNING
335,WARNING
336,WARNING
337,WARNING
338,CLEAR
339,CLEAR
340,CLEAR
341,CLEAR
342,CLEAR
343,CLEAR
344,CLEAR
345,CLEAR
346,CLEAR
347,CLEAR
348,CLEAR
349,CLEAR
350,CLEAR
351,CLEAR
352,CLEAR
353,CLEAR
354,CLEAR
355,CLEAR
356,CLEAR
357,WARNING
358,CLEAR
359,CLEAR
360,CLEAR
361,CLEAR
362,CLEAR
363,CLEAR
364,CLEAR
365,CLEAR
366,WARNING
367,WARNING
368,WARNING
369,CLEAR
370,CLEAR
371,CLEAR
372,CLEAR
373,CLEAR
374,CLEAR
375,CLEAR
376,CLEAR
377,CLEAR
378,CLEAR
379,CLEAR
380,WARNING
381,WARNING
382,WARNING
383,WARNING
384,WARNING
385,CLEAR
386,CLEAR
387,CLEAR
388,WARNING
389,WARNING
390,WARNING
391,CLEAR
392,CLEAR
393,CLEAR
394,CLEAR
395,CLEAR
396,CLEAR
397,CLEAR
398,CLEAR
399,CLEAR
400,CLEAR
401,WARNING
402,CLEAR
403,CLEAR
404,CLEAR
405,CLEAR
406,CLEAR
407,CLEAR
408,CLEAR
409,CLEAR
410,CLEAR
411,CLEAR
412,CLEAR
413,CLEAR
414,CLEAR
415,CLEAR
416,CLEAR
417,WARNING
418,WARNING
419,CLEAR
420,CLEAR
421,CLEAR
422,CLEAR
423,STOP
424,STOP
425,STOP
426,STOP
427,STOP
428,STOP
429,STOP
430,STOP
431,WARNING
432,CLEAR
433,CLEAR
434,CLEAR
435,CLEAR
436,CLEAR
437,CLEAR
438,CLEAR
439,WARNING
440,WARNING
441,CLEAR
442,WARNING
443,CLEAR
444,CLEAR
445,CLEAR
446,CLEAR
447,CLEAR
448,CLEAR
449,CLEAR
450,WARNING
451,WARNING
452,CLEAR
453,CLEAR
454,CLEAR
455,CLEAR
456,CLEAR
457,CLEAR
458,CLEAR
459,CLEAR
460,CLEAR
461,STOP
462,STOP
463,STOP
464,STOP
465,CLEAR
466,CLEAR
467,WARNING
468,CLEAR
469,WARNING
470,CLEAR
471,CLEAR
472,CLEAR
473,CLEAR
474,CLEAR
475,CLEAR
476,CLEAR
477,CLEAR
478,CLEAR
479,CLEAR
480,CLEAR
481,WARNING
482,WARNING
483,WARNING
484,CLEAR
485,CLEAR
486,WARNING
487,STOP
488,STOP
489,STOP
490,WARNING
491,WARNING
492,CLEAR
493,CLEAR
494,CLEAR
495,CLEAR
496,CLEAR
497,WARNING
498,WARNING
499,CLEAR
500,CLEAR
501,CLEAR
502,CLEAR
503,CLEAR
504,CLEAR
505,CLEAR
506,CLEAR
507,CLEAR
508,CLEAR
509,CLEAR
510,CLEAR
511,CLEAR
512,CLEAR
513,CLEAR
514,CLEAR
515,CLEAR
516,CLEAR
517,CLEAR
518,CLEAR
519,CLEAR
520,WARNING
521,STOP
522,STOP
523,STOP
524,STOP
525,STOP
526,STOP
527,STOP
528,STOP
529,STOP
530,STOP
531,STOP
532,STOP
533,STOP
534,STOP
535,STOP
536,STOP
537,STOP
538,STOP
539,STOP
540,STOP
541,WARNING
542,CLEAR
543,WARNING
544,WARNING
545,CLEAR
546,CLEAR
547,WARNING
548,WARNING
549,WARNING
550,WARNING
551,WARNING
552,WARNING
553,WARNING
554,WARNING
555,WARNING
556,CLEAR
557,CLEAR
558,WARNING
559,WARNING
560,CLEAR
561,WARNING
562,CLEAR
563,CLEAR
564,CLEAR
565,CLEAR
566,CLEAR
567,CLEAR
568,CLEAR
569,CLEAR
570,CLEAR
571,CLEAR
572,CLEAR
573,CLEAR
574,CLEAR
575,CLEAR
576,CLEAR
577,CLEAR
578,CLEAR
579,CLEAR
580,CLEAR
581,CLEAR
582,CLEAR
583,CLEAR
584,CLEAR
585,CLEAR
586,CLEAR
587,CLEAR
588,CLEAR
589,CLEAR
590,CLEAR
591,CLEAR
592,CLEAR
593,CLEAR
594,CLEAR
595,CLEAR
596,CLEAR
597,CLEAR
598,CLEAR
599,CLEAR
600,CLEAR
601,STOP
602,STOP
603,CLEAR
604,CLEAR
605,CLEAR
606,CLEAR
607,CLEAR
608,CLEAR
609,CLEAR
610,CLEAR
611,CLEAR
612,CLEAR
613,CLEAR
614,CLEAR
615,CLEAR
616,CLEAR
617,CLEAR
618,CLEAR
619,WARNING
620,WARNING
621,WARNING
